ip_away,h_away,r_away,er_away,bb_away,k_away,hr_away,era_away,p_away,s_away,name_away,personId_away,note_away,game_id,ip_home,h_home,r_home,er_home,bb_home,k_home,hr_home,era_home,p_home,s_home,name_home,personId_home,note_home,namefield_away,namefield_home
5.0,2,1,1,4,5,1,10.04,94,54,Hendricks,543294.0,,745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,Hendricks,Nicolas
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,"Lovelady  (H, 2)",Pirates Pitchers
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,"Lovelady  (H, 2)",Falter
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,"Lovelady  (H, 2)","Ortiz, L.L."
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,"Lovelady  (H, 2)",Bednar
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)","Lovelady  (H, 2)","Chapman  (L, 0-3)"
0.1,2,1,1,0,0,0,7.94,11,7,Lovelady,663992.0,"(H, 2)",745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,"Lovelady  (H, 2)",Nicolas
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,"Brewer  (BS, 1)",Pirates Pitchers
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,"Brewer  (BS, 1)",Falter
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,"Brewer  (BS, 1)","Ortiz, L.L."
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,"Brewer  (BS, 1)",Bednar
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)","Brewer  (BS, 1)","Chapman  (L, 0-3)"
1.0,1,0,0,1,2,0,3.09,26,15,Brewer,605155.0,"(BS, 1)",745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,"Brewer  (BS, 1)",Nicolas
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,Leiter Jr.,Pirates Pitchers
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,6.0,5,2,2,2,1,1,4.15,81,44,Falter,663559.0,,Leiter Jr.,Falter
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,2.0,0,0,0,1,1,0,2.91,35,17,"Ortiz, L.L.",682847.0,,Leiter Jr.,"Ortiz, L.L."
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,1.0,1,0,0,1,1,0,9.00,20,9,Bednar,670280.0,,Leiter Jr.,Bednar
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,0.2,3,3,1,2,0,1,4.61,23,11,Chapman,547973.0,"(L, 0-3)",Leiter Jr.,"Chapman  (L, 0-3)"
1.2,0,0,0,0,2,0,0.53,17,12,Leiter Jr.,643410.0,,745499,0.1,0,0,0,0,0,0,7.20,6,3,Nicolas,693312.0,,Leiter Jr.,Nicolas
1.0,2,0,0,1,1,0,3.00,22,12,Neris,593576.0,"(W, 3-0)",745499,IP,H,R,ER,BB,K,HR,ERA,P,S,Cubs Pitchers,0.0,,"Neris  (W, 3-0)",Pirates Pitchers
